"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","REST Assured API Automation Framework","0","Carts","1","0","Cart full update","0"
"0","REST Assured API Automation Framework","0","Carts","1","0","Cart partial update","0"
"0","REST Assured API Automation Framework","1","Carts","0","0","Cart creation","0"
"0","REST Assured API Automation Framework","0","Products","1","0","Product creation","0"
"0","REST Assured API Automation Framework","0","Products","1","0","Product full update","0"
"0","REST Assured API Automation Framework","0","Carts","3","0","Invalid cart id validation","0"
"0","REST Assured API Automation Framework","0","Carts","1","0","User cart lookup","0"
"0","REST Assured API Automation Framework","0","Products","1","0","Product deletion","0"
"0","REST Assured API Automation Framework","0","Products","3","0","Invalid product id validation","0"
"0","REST Assured API Automation Framework","0","Products","3","0","Product search relevance","0"
"0","REST Assured API Automation Framework","0","Authentication","1","0","Get authenticated user profile","0"
"0","REST Assured API Automation Framework","0","Authentication","4","0","Invalid login validation","0"
"0","REST Assured API Automation Framework","0","Carts","1","0","Cart schema validation","0"
"0","REST Assured API Automation Framework","0","Authentication","1","0","Valid login","0"
"0","REST Assured API Automation Framework","0","Carts","1","0","Cart deletion","0"
"0","REST Assured API Automation Framework","0","Products","1","0","Product partial update","0"
"0","REST Assured API Automation Framework","0","Products","1","0","Product schema validation","0"
"0","REST Assured API Automation Framework","0","Products","1","0","Product pagination","0"
