"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","220","POST /auth/login returns 400 - unknown username","","Fri May 08 02:32:43 UTC 2026","passed","Fri May 08 02:32:44 UTC 2026","","com.restassured.tests.AuthTest","com.restassured.tests.AuthTest","loginWithInvalidCredentialsReturns400"
"","160","GET /products/999999 returns 404 for invalid product id","","Fri May 08 02:32:45 UTC 2026","passed","Fri May 08 02:32:45 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","getProductByIdReturnsNotFoundForInvalidIds"
"","152","PATCH /carts/{id} replaces the cart's product list","","Fri May 08 02:32:47 UTC 2026","passed","Fri May 08 02:32:48 UTC 2026","","com.restassured.tests.CartTest","com.restassured.tests.CartTest","patchCartReplacesProductList"
"","230","POST /auth/login returns 400 - wrong password","","Fri May 08 02:32:43 UTC 2026","passed","Fri May 08 02:32:43 UTC 2026","","com.restassured.tests.AuthTest","com.restassured.tests.AuthTest","loginWithInvalidCredentialsReturns400"
"","173","GET /products returns a paginated, well-formed list","","Fri May 08 02:32:46 UTC 2026","passed","Fri May 08 02:32:46 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","getProductsReturnsPaginatedResponse"
"","308","PUT /carts/{id} with merge=true adds new products to the existing cart","","Fri May 08 02:32:48 UTC 2026","passed","Fri May 08 02:32:48 UTC 2026","","com.restassured.tests.CartTest","com.restassured.tests.CartTest","putCartWithMergeTrueAddsProductsToExistingCart"
"","153","GET /carts/user/{userId} returns only that user's carts","","Fri May 08 02:32:47 UTC 2026","passed","Fri May 08 02:32:47 UTC 2026","","com.restassured.tests.CartTest","com.restassured.tests.CartTest","cartsByUserContainsOnlyThatUsersCarts"
"","166","DELETE /carts/{id} marks the cart as deleted","","Fri May 08 02:32:47 UTC 2026","passed","Fri May 08 02:32:47 UTC 2026","","com.restassured.tests.CartTest","com.restassured.tests.CartTest","deleteCartMarksCartAsDeleted"
"","173","POST /auth/login returns 400 - empty password","","Fri May 08 02:32:44 UTC 2026","passed","Fri May 08 02:32:44 UTC 2026","","com.restassured.tests.AuthTest","com.restassured.tests.AuthTest","loginWithInvalidCredentialsReturns400"
"","174","POST /auth/login returns 400 - empty username","","Fri May 08 02:32:44 UTC 2026","passed","Fri May 08 02:32:44 UTC 2026","","com.restassured.tests.AuthTest","com.restassured.tests.AuthTest","loginWithInvalidCredentialsReturns400"
"","175","GET /products/search?q=shirt returns products matching the term","","Fri May 08 02:32:46 UTC 2026","passed","Fri May 08 02:32:46 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","searchProductsReturnsMatchingResults"
"","2871","POST /auth/login returns a token and profile matching the login schema","","Fri May 08 02:32:40 UTC 2026","passed","Fri May 08 02:32:42 UTC 2026","","com.restassured.tests.AuthTest","com.restassured.tests.AuthTest","loginWithValidCredentialsReturnsToken"
"","163","GET /products/0 returns 404 for invalid product id","","Fri May 08 02:32:45 UTC 2026","passed","Fri May 08 02:32:45 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","getProductByIdReturnsNotFoundForInvalidIds"
"","160","GET /carts/0 returns 404 for invalid cart id","","Fri May 08 02:32:46 UTC 2026","passed","Fri May 08 02:32:46 UTC 2026","","com.restassured.tests.CartTest","com.restassured.tests.CartTest","invalidCartIdReturns404"
"","155","POST /products/add creates a product with the requested fields","","Fri May 08 02:32:45 UTC 2026","passed","Fri May 08 02:32:45 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","addProductCreatesProductWithRequestedFields"
"","514","GET /auth/me returns the profile of the authenticated user","","Fri May 08 02:32:43 UTC 2026","passed","Fri May 08 02:32:43 UTC 2026","","com.restassured.tests.AuthTest","com.restassured.tests.AuthTest","getAuthenticatedUserReturnsProfile"
"","155","GET /carts/{id} returns a well-formed cart","","Fri May 08 02:32:47 UTC 2026","passed","Fri May 08 02:32:47 UTC 2026","","com.restassured.tests.CartTest","com.restassured.tests.CartTest","existingCartIsWellFormed"
"","165","GET /carts/1000000 returns 404 for invalid cart id","","Fri May 08 02:32:47 UTC 2026","passed","Fri May 08 02:32:47 UTC 2026","","com.restassured.tests.CartTest","com.restassured.tests.CartTest","invalidCartIdReturns404"
"","206","PATCH /products/{id} partially updates a product and preserves omitted fields","","Fri May 08 02:32:44 UTC 2026","passed","Fri May 08 02:32:45 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","patchProductPartiallyUpdatesProductAndPreservesOmittedFields"
"","559","PUT /products/{id} updates a product with a complete request body","","Fri May 08 02:32:44 UTC 2026","passed","Fri May 08 02:32:44 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","putProductUpdatesProductWithCompleteRequestBody"
"","49","GET /products/{id} returns a product conforming to the product schema","","Fri May 08 02:32:46 UTC 2026","passed","Fri May 08 02:32:46 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","getProductByIdReturnsProductMatchingSchema"
"","161","GET /carts/999999 returns 404 for invalid cart id","","Fri May 08 02:32:46 UTC 2026","passed","Fri May 08 02:32:47 UTC 2026","","com.restassured.tests.CartTest","com.restassured.tests.CartTest","invalidCartIdReturns404"
"","166","POST /carts/add creates a cart with the requested products","","Fri May 08 02:32:47 UTC 2026","passed","Fri May 08 02:32:47 UTC 2026","","com.restassured.tests.CartTest","com.restassured.tests.CartTest","addCartCreatesCartWithRequestedProducts"
"","165","GET /products/search?q=watch returns products matching the term","","Fri May 08 02:32:46 UTC 2026","passed","Fri May 08 02:32:46 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","searchProductsReturnsMatchingResults"
"","219","GET /products/search?q=phone returns products matching the term","","Fri May 08 02:32:46 UTC 2026","passed","Fri May 08 02:32:46 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","searchProductsReturnsMatchingResults"
"","175","DELETE /products/{id} marks the product as deleted","","Fri May 08 02:32:45 UTC 2026","passed","Fri May 08 02:32:46 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","deleteProductMarksProductAsDeleted"
"","165","GET /products/-1 returns 404 for invalid product id","","Fri May 08 02:32:45 UTC 2026","passed","Fri May 08 02:32:45 UTC 2026","","com.restassured.tests.ProductTest","com.restassured.tests.ProductTest","getProductByIdReturnsNotFoundForInvalidIds"
